09:26:16.069 | wlo1 | TCP | d4:7f:35:16:e2:9f /172.64.148.235:443 -> 94:bb:43:2a:60:bd /172.26.109.31:55388 | ttl=54 | len=66 | TCP ACK | rtt=-
09:26:16.082 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:40767 -> d4:7f:35:16:e2:9f /193.137.16.145:53 | ttl=64 | len=82 | UDP datagram | rtt=-
09:26:16.084 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:16.084 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:16.084 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=152 | UDP datagram | rtt=-
09:26:16.091 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=1242 | UDP datagram | rtt=-
09:26:16.095 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=2469 | UDP datagram | rtt=-
09:26:16.095 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=69 | UDP datagram | rtt=-
09:26:16.095 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=94 | UDP datagram | rtt=-
09:26:16.097 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:16.097 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:16.097 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:16.097 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:16.098 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:16.098 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:16.098 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:16.099 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:16.099 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:16.099 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:16.103 | wlo1 | UDP | d4:7f:35:16:e2:9f /193.137.16.145:53 -> 94:bb:43:2a:60:bd /172.26.109.31:40767 | ttl=62 | len=138 | UDP datagram | rtt=-
09:26:16.107 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=95 | UDP datagram | rtt=-
09:26:16.107 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=120 | UDP datagram | rtt=-
09:26:16.107 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:16.107 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:16.107 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:16.107 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1099 | UDP datagram | rtt=-
09:26:16.115 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=120 | UDP datagram | rtt=-
09:26:16.118 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=69 | UDP datagram | rtt=-
09:26:16.123 | wlo1 | TCP | d4:7f:35:16:e2:9f /172.64.148.235:443 -> 94:bb:43:2a:60:bd /172.26.109.31:55388 | ttl=54 | len=151 | TCP PSH | rtt=-
09:26:16.163 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:55388 -> d4:7f:35:16:e2:9f /172.64.148.235:443 | ttl=64 | len=66 | TCP ACK | rtt=-
09:26:16.472 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=2037 | UDP datagram | rtt=-
09:26:16.472 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=1242 | UDP datagram | rtt=-
09:26:16.472 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=77 | UDP datagram | rtt=-
09:26:16.472 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=85 | UDP datagram | rtt=-
09:26:16.783 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=1998 | UDP datagram | rtt=-
09:26:16.783 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=1277 | UDP datagram | rtt=-
09:26:16.783 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=2014 | UDP datagram | rtt=-
09:26:16.783 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=85 | UDP datagram | rtt=-
09:26:17.889 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:55388 -> d4:7f:35:16:e2:9f /172.64.148.235:443 | ttl=64 | len=155 | TCP PSH | rtt=-
09:26:17.890 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:17.892 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:17.892 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:17.892 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:17.892 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:17.892 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:17.892 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:17.892 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1212 | UDP datagram | rtt=-
09:26:17.907 | wlo1 | TCP | d4:7f:35:16:e2:9f /172.64.148.235:443 -> 94:bb:43:2a:60:bd /172.26.109.31:55388 | ttl=54 | len=66 | TCP ACK | rtt=-
09:26:17.912 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=198 | UDP datagram | rtt=-
09:26:18.213 | wlo1 | TCP | d4:7f:35:16:e2:9f /172.64.148.235:443 -> 94:bb:43:2a:60:bd /172.26.109.31:55388 | ttl=54 | len=151 | TCP PSH | rtt=-
09:26:18.213 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:55388 -> d4:7f:35:16:e2:9f /172.64.148.235:443 | ttl=64 | len=66 | TCP ACK | rtt=-
09:26:18.547 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:55388 -> d4:7f:35:16:e2:9f /172.64.148.235:443 | ttl=64 | len=155 | TCP PSH | rtt=-
09:26:18.551 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=691 | UDP datagram | rtt=-
